fecha,PRECTOTCORR,IMERG_PRECTOT,T2M,T2M_MAX,T2M_MIN,RH2M,QV2M,GWETTOP,GWETROOT,ALLSKY_SFC_SW_DWN,WS2M,precio_interno,year_iso,week_iso
2021-01-04,5.890666666666666,,19.186666666666667,23.254,16.209333333333333,87.67266666666666,14.342666666666668,0.774,0.754,13.996666666666666,0.776,1073000.0,2021,1
2021-01-11,5.045999999999999,,18.64485714285714,22.705714285714286,15.584,85.782,13.549142857142858,0.7697142857142858,0.7517142857142858,14.466571428571427,0.8188571428571428,1050285.714285714,2021,2
2021-01-18,1.0517142857142858,,19.771142857142856,24.899142857142856,15.909428571428572,81.29571428571428,13.654857142857145,0.7411428571428571,0.7348571428571429,17.718,0.8402857142857144,1068714.285714286,2021,3
2021-01-25,6.263714285714285,,19.859714285714286,24.96457142857143,16.02542857142857,80.66971428571428,13.604571428571427,0.7288571428571429,0.7165714285714285,16.238,0.8342857142857142,1079142.857142857,2021,4
2021-02-01,3.464285714285714,,20.06571428571429,25.20057142857143,16.176,80.84371428571428,13.80742857142857,0.7317142857142857,0.7302857142857142,17.927714285714284,0.8348571428571429,1094714.285714286,2021,5
2021-02-08,4.735714285714286,,20.223142857142857,24.87228571428572,16.819142857142857,82.10028571428572,14.188,0.7237142857142856,0.7191428571428571,15.799714285714288,0.8657142857142857,1091000.0,2021,6
2021-02-15,1.4005714285714286,,19.988,24.448285714285717,16.975428571428573,83.67428571428572,14.299428571428573,0.7205714285714285,0.7217142857142858,15.166285714285715,0.7948571428571428,1068857.142857143,2021,7
2021-02-22,4.500571428571429,,19.65742857142857,24.45114285714286,16.22342857142857,82.5957142857143,13.765428571428572,0.7365714285714285,0.7314285714285714,14.526285714285716,0.8285714285714285,1105857.142857143,2021,8
2021-03-01,2.7697142857142856,,20.346857142857143,25.124857142857145,16.886285714285712,81.95257142857143,14.232285714285714,0.7134285714285714,0.7125714285714285,14.331714285714288,0.7979999999999999,1188428.571428571,2021,9
2021-03-08,4.928857142857143,,19.500285714285717,23.86857142857143,16.463428571428572,83.25914285714285,13.784571428571429,0.7245714285714285,0.7194285714285714,13.528,0.6811428571428572,1170285.714285714,2021,10
2021-03-15,4.1417142857142855,,19.05257142857143,23.336285714285715,15.80142857142857,82.77085714285714,13.330857142857145,0.7362857142857143,0.7348571428571429,13.196285714285716,0.7062857142857142,1150285.714285714,2021,11
2021-03-22,3.148,,19.29342857142857,23.750571428571423,16.246857142857145,82.81885714285714,13.502571428571429,0.7234285714285715,0.7262857142857142,14.95285714285714,0.6274285714285714,1145000.0,2021,12
2021-03-29,4.268571428571429,,19.64485714285714,24.173142857142857,16.36714285714286,82.00285714285715,13.66142857142857,0.7345714285714287,0.7362857142857143,14.456857142857142,0.7311428571428571,1158857.142857143,2021,13
2021-04-05,5.556,,20.180857142857143,25.07657142857143,16.692857142857143,82.10714285714286,14.140571428571429,0.7417142857142858,0.7434285714285714,15.099428571428572,0.9014285714285716,1138571.428571429,2021,14
2021-04-12,3.5051428571428573,,19.79057142857143,24.676285714285715,16.125714285714285,81.69742857142857,13.698,0.734,0.7397142857142857,15.562571428571427,0.8722857142857144,1165428.571428571,2021,15
2021-04-19,11.28657142857143,,19.666571428571427,24.319142857142857,16.307142857142857,84.24314285714286,14.086000000000002,0.7714285714285715,0.7634285714285715,14.922285714285715,0.8928571428571429,1191285.714285714,2021,16
2021-04-26,6.265142857142857,,19.65,24.326,16.026857142857143,83.09857142857143,13.912857142857144,0.7862857142857143,0.7874285714285715,16.879714285714286,0.7677142857142857,1229142.857142857,2021,17
2021-05-03,3.791142857142858,,18.834857142857143,22.474285714285717,16.068571428571428,85.45400000000001,13.656857142857143,0.7734285714285715,0.78,13.84542857142857,0.7474285714285714,1322285.714285714,2021,18
2021-05-10,0.8574285714285714,,19.336857142857145,24.094857142857144,15.86142857142857,82.14657142857143,13.390857142857143,0.7465714285714287,0.7605714285714286,16.615428571428573,0.7577142857142858,1394142.857142857,2021,19
2021-05-17,0.9177142857142858,,20.385714285714283,25.741714285714284,16.225142857142856,79.44285714285715,13.735142857142858,0.72,0.734,16.02914285714286,1.0117142857142858,1345857.142857143,2021,20
2021-05-24,3.9722857142857135,,20.546857142857142,25.63314285714285,16.630000000000003,79.7522857142857,13.928857142857144,0.7108571428571429,0.7205714285714285,16.163714285714285,0.9277142857142856,1377571.428571429,2021,21
2021-05-31,6.619714285714286,,19.98542857142857,24.752,16.425428571428572,82.49142857142857,13.952285714285711,0.734,0.7354285714285714,15.054000000000002,0.9048571428571428,1433285.714285714,2021,22
2021-06-07,5.052857142857143,,19.708857142857145,24.236571428571427,16.193142857142856,82.72514285714286,13.825142857142856,0.7291428571428571,0.736,16.188285714285715,0.8405714285714285,1435000.0,2021,23
2021-06-14,6.530571428571429,,19.12342857142857,23.547142857142852,15.906285714285712,83.80685714285714,13.521142857142856,0.7362857142857143,0.7405714285714285,13.342571428571429,0.7817142857142857,1406714.285714286,2021,24
2021-06-21,10.720285714285716,,18.66942857142857,23.37914285714286,15.164285714285716,84.75885714285715,13.29885714285714,0.7808571428571429,0.7782857142857142,15.551142857142857,0.9382857142857144,1398142.857142857,2021,25
2021-06-28,3.809428571428572,,18.813714285714287,23.890571428571427,14.700857142857142,82.05742857142857,12.947142857142856,0.7657142857142858,0.7768571428571429,15.999142857142855,0.8582857142857143,1431428.571428571,2021,26
2021-07-05,1.3254285714285714,,18.607714285714287,23.92685714285714,14.55457142857143,79.79171428571428,12.321428571428571,0.7382857142857142,0.7534285714285714,16.74542857142857,1.106,1435142.857142857,2021,27
2021-07-12,0.7568571428571429,,19.386000000000003,24.969428571428573,14.837142857142856,78.18342857142856,12.637428571428572,0.7097142857142857,0.7262857142857142,15.701714285714283,1.014,1417714.285714286,2021,28
2021-07-19,2.519428571428571,,19.850857142857144,25.502857142857145,15.471142857142857,77.78114285714285,12.894285714285717,0.6971428571428572,0.708,15.72,1.0194285714285714,1478000.0,2021,29
2021-07-26,2.6734285714285715,,19.532571428571423,24.79742857142857,15.568285714285713,79.20428571428572,12.93657142857143,0.7014285714285714,0.7088571428571429,14.338,1.1137142857142857,1680428.571428571,2021,30
2021-08-02,0.9785714285714284,,19.83942857142857,25.416,15.526285714285716,77.47342857142857,12.848857142857142,0.6848571428571428,0.6954285714285715,16.408571428571427,1.0077142857142856,1778000.0,2021,31
2021-08-09,0.7325714285714285,,19.254571428571428,24.924285714285716,14.881428571428572,74.45,11.857714285714286,0.6668571428571428,0.6785714285714286,16.25,1.168,1677857.142857143,2021,32
2021-08-16,3.6317142857142857,,19.72942857142857,25.336857142857145,15.643714285714289,77.95599999999999,12.809142857142856,0.6728571428571428,0.6737142857142857,15.846285714285717,0.952,1723714.285714286,2021,33
2021-08-23,3.3488571428571428,,19.743142857142857,25.015142857142852,15.887428571428572,80.28628571428571,13.34714285714286,0.6817142857142857,0.6802857142857143,15.41457142857143,0.842,1680142.857142857,2021,34
